,participant,GT,GS
204,6031027aa6af0b0a8bd3fbdf,True,True
205,60311003a6af0b0a8bd3ff4d,True,False
206,60311173a6af0b0a8bd3ff53,False,True
207,60312899a6af0b0a8bd40126,False,False
208,603170eaa6af0b0a8bd4121d,True,True
209,6031f9bfa6af0b0a8bd4125f,True,False
210,6032151aa6af0b0a8bd41497,False,True
211,60321aa0a6af0b0a8bd414bd,False,False
212,60329eb1a6af0b0a8bd41e61,True,True
213,60337093a6af0b0a8bd42ac1,True,False
214,6033ba09a6af0b0a8bd44439,False,True
215,6033d2d5a6af0b0a8bd44495,False,False
216,60340d95a6af0b0a8bd4558b,True,True
217,6034d8eda6af0b0a8bd457ad,True,False
218,6034f4d0a6af0b0a8bd457e3,False,True
219,60351426a6af0b0a8bd4614a,False,False
220,6035ee7ea6af0b0a8bd462e3,True,True
221,603611d9a6af0b0a8bd462ea,True,False
222,60362ef0a6af0b0a8bd462f2,False,True
223,603648baa6af0b0a8bd4631e,False,False
224,6037236aa6af0b0a8bd482cd,True,True
225,6037aa0ea6af0b0a8bd48d99,True,False
226,6037ccbfa6af0b0a8bd49964,False,True
227,6037ecc7a6af0b0a8bd49eed,False,False
228,60380562a6af0b0a8bd49f1b,True,True
229,60390376a6af0b0a8bd49f38,True,False
230,603a8e8ba6af0b0a8bd4c64e,False,True
231,603d439fa6af0b0a8bd52ba3,False,False
232,603d7455a6af0b0a8bd53507,True,True
233,603e09b4a6af0b0a8bd5350d,True,False
234,603eb70ba6af0b0a8bd5371b,False,True
235,603fca9ca6af0b0a8bd5374f,False,False
236,604064afa6af0b0a8bd537d8,True,True
237,6040d773a6af0b0a8bd53963,True,False
238,604243eaba869b0aa718df97,False,True
239,6043ba33ba869b0aa718e216,False,False
240,6043d2acba869b0aa718e21f,True,True
241,6043f0bcba869b0aa718e259,True,False
242,6045cb5fba869b0aa718e2eb,False,True
243,60464c7fba869b0aa718e375,False,False
244,6047772dba869b0aa718e6f5,True,True
245,604844e2ba869b0aa718e77a,True,False
246,6048d5a3ba869b0aa718e7a0,False,True
247,60490662ba869b0aa718e7b3,False,False
248,604a2fdeba869b0aa718eb64,True,True
249,604a3c4cba869b0aa718ec11,True,False
250,604b4b62ba869b0aa718f27e,False,True
251,604b6696ba869b0aa718f328,False,False
252,604ba23eba869b0aa718f3ad,True,True
253,604bbb22ba869b0aa718f3bb,True,False
254,604c3e10ba869b0aa718f3e2,False,True
255,604c4937ba869b0aa718f400,False,False
256,604c564bba869b0aa718f416,True,True
257,604c56b5ba869b0aa718f41e,True,False
258,604c595eba869b0aa718f46e,False,True
259,604c8482ba869b0aa71912a0,False,False
260,604ca5b8ba869b0aa7193223,True,True
261,604caa6fba869b0aa7193514,True,False
262,604ccd32ba869b0aa71946ce,False,True
263,604ce667ba869b0aa7194ebe,False,False
264,604cf57bba869b0aa719567b,True,True
265,604d1129ba869b0aa7196b6a,True,False
266,604d25f2ba869b0aa7197850,False,True
267,604d27e9ba869b0aa71978fe,False,False
268,604d9621ba869b0aa719832c,True,True
269,604d966cba869b0aa7198348,True,False
270,604da99bba869b0aa7198807,False,True
271,604dab5fba869b0aa719891e,False,False
272,604daccdba869b0aa7198ace,True,True
273,604dad56ba869b0aa7198ae2,True,False
274,604db12eba869b0aa71990ab,False,True
275,604db1c2ba869b0aa719920c,False,False
276,604dbbbdba869b0aa7199855,True,True
277,604dc59eba869b0aa719a67b,True,False
278,604dc83eba869b0aa719ab96,False,True
279,604de8b8ba869b0aa719e935,False,False
280,604de8e4ba869b0aa719e945,True,True
281,604de995ba869b0aa719e9b1,True,False
282,604de9d9ba869b0aa719e9b7,False,True
283,604deec3ba869b0aa719ecf2,False,False
284,604df9aeba869b0aa719f15f,True,True
285,604e0417ba869b0aa719f964,True,False
286,604e08d3ba869b0aa719fd96,False,True
287,604e1233ba869b0aa71a0485,False,False
288,604e240dba869b0aa71a1241,True,True
289,604e2b01ba869b0aa71a1704,True,False
290,604e3fbbba869b0aa71a2269,False,True
291,604e435cba869b0aa71a277f,False,False
292,604e4627ba869b0aa71a28d9,True,True
293,604e665eba869b0aa71a3c18,True,False
294,604eec79ba869b0aa71a5338,False,True
295,604ef140ba869b0aa71a5347,False,False
296,604ef27aba869b0aa71a5380,True,True
297,604f064eba869b0aa71a5d8d,True,False
298,604f148cba869b0aa71a67f1,False,True
299,604f1c3aba869b0aa71a7500,False,False
300,604f27f0ba869b0aa71a9210,True,True
301,604f33b1ba869b0aa71ab0ed,True,False
302,604f34bbba869b0aa71ab4c1,False,True
303,604f4f18ba869b0aa71b0013,False,False
304,604f797fba869b0aa71b3185,True,True
305,604f7d21ba869b0aa71b32b9,True,False
306,604f7eb8ba869b0aa71b3404,False,True
307,6050ba51ba869b0aa71b5996,False,False
308,6050d98bba869b0aa71b59e8,True,True
309,6050f676ba869b0aa71b5a1c,True,False
310,6051134eba869b0aa71b5a39,False,True
311,6051266eba869b0aa71b5a42,False,False
312,6051b252ba869b0aa71b5a57,True,True
313,6051d189ba869b0aa71b5abf,True,False
314,6051ffd2ba869b0aa71b5cd3,False,True
315,605242a8ba869b0aa71b5e1f,False,False
316,60524f0dba869b0aa71b5e6b,True,True
317,60525918ba869b0aa71b5fd8,True,False
318,6052f862ba869b0aa71b6036,False,True
319,605328b2ba869b0aa71b6100,False,False
320,605387a3ba869b0aa71b6291,True,True
321,6053b5b0ba869b0aa71b6b23,True,False
322,6053b6beba869b0aa71b6b33,False,True
323,6054bbe9ba869b0aa71b6ead,False,False
324,6054f492ba869b0aa71b7014,True,True
325,6054f79cba869b0aa71b7032,True,False
326,60550163ba869b0aa71b7095,False,True
327,605503a5ba869b0aa71b70ac,False,False
328,60550679ba869b0aa71b70f2,True,True
329,60551b9dba869b0aa71b725b,True,False
330,60552374ba869b0aa71b72c9,False,True
331,605523ddba869b0aa71b72e4,False,False
332,60553978ba869b0aa71b7700,True,True
333,60554e12ba869b0aa71b7719,True,False
334,60555e69ba869b0aa71b777a,False,True
335,60556db2ba869b0aa71b7780,False,False
336,60557932ba869b0aa71b778b,True,True
337,60558397ba869b0aa71b7814,True,False
338,605585afba869b0aa71b7838,False,True
339,6055886bba869b0aa71b785a,False,False
340,6055a699ba869b0aa71b78e8,True,True
341,6055ad72ba869b0aa71b7901,True,False
342,6055c7bcba869b0aa71b79d3,False,True
343,6055eb03ba869b0aa71b7cb7,False,False
344,6055fb2bba869b0aa71b8107,True,True
345,605606e9ba869b0aa71b8801,True,False
346,60560ae7ba869b0aa71b8932,False,True
347,605617d3ba869b0aa71b8ada,False,False
348,60561a0eba869b0aa71b8aea,True,True
349,60561d37ba869b0aa71b8afb,True,False
350,60562767ba869b0aa71b8b17,False,True
351,60562da9ba869b0aa71b8d9a,False,False
352,605638d2ba869b0aa71b9090,True,True
353,60563e08ba869b0aa71b9221,True,False
354,6056492cba869b0aa71b93ad,False,True
355,6056499dba869b0aa71b93e0,False,False
356,60564a87ba869b0aa71b94c9,True,True
357,60564ecbba869b0aa71b9627,True,False
358,60564fe1ba869b0aa71b9640,False,True
359,60565047ba869b0aa71b9648,False,False
360,60565448ba869b0aa71b965c,True,True
361,6056bc57ba869b0aa71b9923,True,False
362,6056cd01ba869b0aa71b9abb,False,True
363,6056ec60ba869b0aa71ba26b,False,False
364,60572242ba869b0aa71bd973,True,True
365,60574d71ba869b0aa71bea44,True,False
366,6057dd9aba869b0aa71c0386,False,True
367,6057f3e1ba869b0aa71c057c,False,False
368,60584643ba869b0aa71c06b5,True,True
369,60589795ba869b0aa71c0adf,True,False
370,6058a23dba869b0aa71c0ca0,False,True
371,6058c174ba869b0aa71c1807,False,False
372,6058e089ba869b0aa71c2282,True,True
373,6058edf0ba869b0aa71c22b1,True,False
374,6059080dba869b0aa71c3544,False,True
375,60593fc2ba869b0aa71c3ab9,False,False
376,60599fc0ba869b0aa71c4e4b,True,True
377,6059c097ba869b0aa71c5d13,True,False
378,6059eacbba869b0aa71c6501,False,True
379,605a069bba869b0aa71c6a5b,False,False
380,605a1e72ba869b0aa71c71de,True,True
381,605a21e9ba869b0aa71c728f,True,False
382,605a5c63ba869b0aa71c848a,False,True
383,605a5ca1ba869b0aa71c848f,False,False
384,605a8e77ba869b0aa71c84a8,True,True
385,605a99a9ba869b0aa71c84b3,True,False
386,605ae71fba869b0aa71c860f,False,True
387,605aecceba869b0aa71c863f,False,False
388,605b2938ba869b0aa71c9505,True,True
389,605b2cdaba869b0aa71c950f,True,False
390,605c3c3dba869b0aa71cda5a,False,True
391,605c4db5ba869b0aa71cde48,False,False
392,605cdb29ba869b0aa71d1034,True,True
393,605cfabeba869b0aa71d1161,True,False
394,605d2c28ba869b0aa71d1186,False,True
395,605dc9a5ba869b0aa71d2b29,False,False
396,605e2865ba869b0aa71d30f0,True,True
397,605e8a70ba869b0aa71d31bc,True,False
398,605ed2cbba869b0aa71d355b,False,True
399,605ed3a9ba869b0aa71d35cb,False,False
