,participant,qid,startTime,endTime,duration,deducted,to_deduct
54,6018f56af8a80c12afba21e0,create2,2021-02-02T07:04:33.229Z,2021-02-02T07:08:14.439Z,221.21,"[['2021-02-02T07:04:58.624Z', '2021-02-02T07:06:44.291Z']]",105.667
55,6018f3a9f8a80c12afba217e,create2,2021-02-02T07:02:33.827Z,2021-02-02T07:10:06.868Z,453.04100000000005,"[['2021-02-02T07:08:19.54Z', '2021-02-02T07:08:33.901Z']]",14.361
56,6018f495f8a80c12afba21aa,create1,2021-02-02T07:02:06.342Z,2021-02-02T07:10:59.303Z,532.961,"[['2021-02-02T07:03:42.357Z', '2021-02-02T07:06:35.829Z'], ['2021-02-02T07:03:53.21Z', '2021-02-02T07:03:53.21Z'], ['2021-02-02T07:05:14.734Z', '2021-02-02T07:05:14.734Z'], ['2021-02-02T07:05:59.752Z', '2021-02-02T07:05:59.752Z'], ['2021-02-02T07:07:34.45Z', '2021-02-02T07:07:53.965Z'], ['2021-02-02T07:08:09.819Z', '2021-02-02T07:09:14.144Z'], ['2021-02-02T07:08:19.836Z', '2021-02-02T07:08:19.836Z']]",257.312
57,6018f495f8a80c12afba21aa,create2,2021-02-02T07:10:59.387Z,2021-02-02T07:14:00.342Z,180.955,[],0.0
58,6018f8bbf8a80c12afba253f,create1,2021-02-02T07:18:29.371Z,2021-02-02T07:25:11.137Z,401.766,[],0.0
59,6018f56af8a80c12afba21e0,access1,2021-02-02T07:22:51.26Z,2021-02-02T07:26:26.582Z,215.322,[],0.0
60,6018f56af8a80c12afba21e0,access2,2021-02-02T07:26:26.61Z,2021-02-02T07:27:57.715Z,91.105,[],0.0
61,6018f44df8a80c12afba219c,create1,2021-02-02T07:10:48.203Z,2021-02-02T07:28:36.665Z,1068.462,[],0.0
62,6018f8bbf8a80c12afba253f,create2,2021-02-02T07:25:11.171Z,2021-02-02T07:28:38.043Z,206.872,[],0.0
63,6018f410f8a80c12afba2194,create1,2021-02-02T07:10:29.989Z,2021-02-02T07:29:08.919Z,1118.93,"[['2021-02-02T07:17:36.203Z', '2021-02-02T07:19:24.399Z'], ['2021-02-02T07:19:32.555Z', '2021-02-02T07:23:25.715Z']]",341.356
64,6018f9d4f8a80c12afba2793,create1,2021-02-02T08:30:08.107Z,2021-02-02T08:34:11.385Z,243.27800000000002,[],0.0
65,6018f495f8a80c12afba21aa,access1,2021-02-02T07:26:25.251Z,2021-02-02T07:34:15.402Z,470.151,"[['2021-02-02T07:30:42.73Z', '2021-02-02T07:30:49.299Z'], ['2021-02-02T07:31:19.974Z', '2021-02-02T07:32:45.4Z'], ['2021-02-02T07:31:24.071Z', '2021-02-02T07:31:24.071Z']]",91.995
66,6018f7b8f8a80c12afba2403,create1,2021-02-02T07:26:34.126Z,2021-02-02T07:34:57.901Z,503.77500000000003,[],0.0
67,6018f5fef8a80c12afba21ff,create1,2021-02-02T07:29:58.609Z,2021-02-02T07:36:17.094Z,378.485,[],0.0
68,6018f495f8a80c12afba21aa,access2,2021-02-02T07:34:15.586Z,2021-02-02T07:36:43.596Z,148.01000000000002,"[['2021-02-02T07:35:43.367Z', '2021-02-02T07:36:43.548Z']]",60.181
69,6018f9d4f8a80c12afba2793,create2,2021-02-02T08:34:11.429Z,2021-02-02T08:37:38.515Z,207.086,[],0.0
70,6018f56af8a80c12afba21e0,calculate1,2021-02-02T07:35:12.946Z,2021-02-02T07:37:38.742Z,145.79600000000002,[],0.0
71,6018f56af8a80c12afba21e0,calculate2,2021-02-02T07:37:38.753Z,2021-02-02T07:39:49.135Z,130.382,[],0.0
72,6018f5fef8a80c12afba21ff,create2,2021-02-02T07:36:17.156Z,2021-02-02T07:40:04.589Z,227.43300000000002,"[['2021-02-02T07:36:26.959Z', '2021-02-02T07:38:15.682Z']]",108.723
73,6018f7b8f8a80c12afba2403,create2,2021-02-02T07:34:58.104Z,2021-02-02T07:40:45.462Z,347.358,[],0.0
74,6018f8bbf8a80c12afba253f,access1,2021-02-02T07:40:38.693Z,2021-02-02T07:42:48.844Z,130.151,[],0.0
75,6018f44df8a80c12afba219c,create2,2021-02-02T07:28:36.73Z,2021-02-02T07:43:36.095Z,899.365,"[['2021-02-02T07:30:08.098Z', '2021-02-02T07:30:09.781Z']]",1.683
76,6018f5fff8a80c12afba2201,create1,2021-02-02T07:32:42.672Z,2021-02-02T07:44:08.47Z,685.798,"[['2021-02-02T07:39:38.261Z', '2021-02-02T07:41:07.666Z']]",89.405
77,6018f3a9f8a80c12afba217e,access1,2021-02-02T07:36:30.774Z,2021-02-02T07:44:42.64Z,491.86600000000004,"[['2021-02-02T07:43:55.635Z', '2021-02-02T07:43:59.161Z']]",3.526
78,6018f56af8a80c12afba21e0,combine1,2021-02-02T07:43:12.656Z,2021-02-02T07:45:21.421Z,128.76500000000001,[],0.0
79,6018f8bbf8a80c12afba253f,access2,2021-02-02T07:42:48.86Z,2021-02-02T07:45:44.651Z,175.791,[],0.0
80,6018f4bbf8a80c12afba21b3,create1,2021-02-02T07:36:31.007Z,2021-02-02T07:45:52.333Z,561.326,[],0.0
81,6018f5fff8a80c12afba2201,create2,2021-02-02T07:44:08.591Z,2021-02-02T07:46:39.297Z,150.70600000000002,[],0.0
82,6018f495f8a80c12afba21aa,calculate1,2021-02-02T07:42:50.651Z,2021-02-02T07:46:38.445Z,227.794,[],0.0
83,6018f3a9f8a80c12afba217e,access2,2021-02-02T07:44:42.668Z,2021-02-02T07:46:39.584Z,116.91600000000001,[],0.0
84,6018f495f8a80c12afba21aa,calculate2,2021-02-02T07:46:38.65Z,2021-02-02T07:48:19.741Z,101.09100000000001,[],0.0
85,6018f56af8a80c12afba21e0,restructure1,2021-02-02T07:47:38.369Z,2021-02-02T07:51:03.172Z,204.80300000000003,[],0.0
86,6018f56af8a80c12afba21e0,restructure2,2021-02-02T07:51:03.183Z,2021-02-02T07:52:30.372Z,87.18900000000001,[],0.0
87,6018f4bbf8a80c12afba21b3,create2,2021-02-02T07:45:52.384Z,2021-02-02T07:52:34.015Z,401.63100000000003,[],0.0
88,6018f410f8a80c12afba2194,create2,2021-02-02T07:29:08.963Z,2021-02-02T07:55:20.388Z,1571.4250000000002,"[['2021-02-02T07:29:47.656Z', '2021-02-02T07:30:57.372Z'], ['2021-02-02T07:36:31.09Z', '2021-02-02T07:37:47.603Z'], ['2021-02-02T07:39:11.96Z', '2021-02-02T07:40:28.513Z'], ['2021-02-02T07:42:00.705Z', '2021-02-02T07:43:12.492Z'], ['2021-02-02T07:49:36.629Z', '2021-02-02T07:51:08.252Z'], ['2021-02-02T07:52:19.584Z', '2021-02-02T07:53:39.245Z']]",465.85299999999995
89,6018f495f8a80c12afba21aa,combine1,2021-02-02T07:51:13.272Z,2021-02-02T07:56:36.01Z,322.738,"[['2021-02-02T07:51:35.252Z', '2021-02-02T07:54:59.443Z']]",204.191
90,6018f8bbf8a80c12afba253f,calculate1,2021-02-02T07:53:44.748Z,2021-02-02T07:56:53.816Z,189.068,"[['2021-02-02T07:53:46.337Z', '2021-02-02T07:55:15.441Z']]",89.104
91,6018f3a9f8a80c12afba217e,calculate1,2021-02-02T07:55:40.416Z,2021-02-02T07:57:29.588Z,109.17200000000001,"[['2021-02-02T07:56:35.86Z', '2021-02-02T07:57:11.17Z'], ['2021-02-02T07:57:12.968Z', '2021-02-02T07:57:15.535Z']]",37.877
92,6018f8bbf8a80c12afba253f,calculate2,2021-02-02T07:56:53.832Z,2021-02-02T07:59:23.801Z,149.96900000000002,[],0.0
93,6018f3a9f8a80c12afba217e,calculate2,2021-02-02T07:57:29.606Z,2021-02-02T08:00:16.017Z,166.411,[],0.0
94,6018f517f8a80c12afba21c8,create1,2021-02-02T20:53:30.241Z,2021-02-02T21:01:07.338Z,457.09700000000004,"[['2021-02-02T20:54:07.841Z', '2021-02-02T20:55:54.221Z'], ['2021-02-02T20:54:08.918Z', '2021-02-02T20:54:08.918Z']]",106.38
95,6018f5fef8a80c12afba21ff,access1,2021-02-02T08:00:05.171Z,2021-02-02T08:03:17.306Z,192.13500000000002,[],0.0
96,6018f5fef8a80c12afba21ff,access2,2021-02-02T08:03:17.364Z,2021-02-02T08:04:55.34Z,97.976,[],0.0
97,6018f3a9f8a80c12afba217e,combine1,2021-02-02T08:04:02.303Z,2021-02-02T08:06:08.321Z,126.01800000000001,[],0.0
98,6018f8bbf8a80c12afba253f,combine1,2021-02-02T08:02:01.247Z,2021-02-02T08:06:15.388Z,254.14100000000002,[],0.0
99,6018f517f8a80c12afba21c8,create2,2021-02-02T21:04:03.472Z,2021-02-02T21:07:34.457Z,210.985,[],0.0
100,6018f495f8a80c12afba21aa,restructure1,2021-02-02T08:00:28.594Z,2021-02-02T08:07:40.303Z,431.709,"[['2021-02-02T08:02:30.151Z', '2021-02-02T08:06:04.136Z'], ['2021-02-02T08:06:36.496Z', '2021-02-02T08:07:40.239Z']]",277.728
101,6018f5fff8a80c12afba2201,access1,2021-02-02T08:06:09.124Z,2021-02-02T08:08:55.466Z,166.342,[],0.0
102,6018f495f8a80c12afba21aa,restructure2,2021-02-02T08:07:40.598Z,2021-02-02T08:10:22.278Z,161.68,"[['2021-02-02T08:07:48.414Z', '2021-02-02T08:08:31.66Z']]",43.246
103,6018fd16f8a80c12afba2cd5,create1,2021-02-02T07:56:47.858Z,2021-02-02T08:10:56.288Z,848.4300000000001,[],0.0
104,6018f5fff8a80c12afba2201,access2,2021-02-02T08:08:55.616Z,2021-02-02T08:11:54.676Z,179.06,[],0.0
105,6018fd16f8a80c12afba2cd5,create2,2021-02-02T08:10:56.32Z,2021-02-02T08:13:21.923Z,145.603,[],0.0
106,6018f4bbf8a80c12afba21b3,access1,2021-02-02T08:09:05.681Z,2021-02-02T08:14:10.377Z,304.696,[],0.0
107,601275c1db5b643e9ca060b4,create1,2021-02-02T07:54:18.091Z,2021-02-02T08:14:41.597Z,1223.506,"[['2021-02-02T07:55:47.135Z', '2021-02-02T07:58:04.526Z'], ['2021-02-02T07:58:07.717Z', '2021-02-02T08:12:50.647Z'], ['2021-02-02T07:58:08.697Z', '2021-02-02T07:58:08.697Z']]",1020.3209999999999
108,6018f8bbf8a80c12afba253f,restructure1,2021-02-02T08:10:57.695Z,2021-02-02T08:16:20.309Z,322.61400000000003,[],0.0
109,6018f4bbf8a80c12afba21b3,access2,2021-02-02T08:14:10.413Z,2021-02-02T08:17:29.51Z,199.097,[],0.0
110,6018f8bbf8a80c12afba253f,restructure2,2021-02-02T08:16:20.332Z,2021-02-02T08:18:18.404Z,118.072,[],0.0
111,6018f5fef8a80c12afba21ff,calculate1,2021-02-02T08:15:57.4Z,2021-02-02T08:18:28.645Z,151.245,[],0.0
112,6018f410f8a80c12afba2194,access1,2021-02-02T08:12:30.02Z,2021-02-02T08:18:36.887Z,366.867,[],0.0
113,6018f410f8a80c12afba2194,access2,2021-02-02T08:18:36.957Z,2021-02-02T08:20:17.131Z,100.174,[],0.0
114,6018fe8ff8a80c12afba2fa8,create1,2021-02-02T08:03:30.102Z,2021-02-02T08:20:32.934Z,1022.8320000000001,"[['2021-02-02T08:04:17.959Z', '2021-02-02T08:05:38.28Z'], ['2021-02-02T08:05:54.386Z', '2021-02-02T08:09:32.019Z'], ['2021-02-02T08:10:35.228Z', '2021-02-02T08:17:45.034Z'], ['2021-02-02T08:10:38.726Z', '2021-02-02T08:10:38.726Z']]",727.76
115,6018f44df8a80c12afba219c,access1,2021-02-02T07:49:36.661Z,2021-02-02T08:21:20.956Z,1904.295,"[['2021-02-02T07:51:13.508Z', '2021-02-02T07:52:31.026Z'], ['2021-02-02T08:10:33.035Z', '2021-02-02T08:10:37.594Z'], ['2021-02-02T08:11:41.155Z', '2021-02-02T08:11:45.165Z']]",86.087
116,6018f5fef8a80c12afba21ff,calculate2,2021-02-02T08:18:28.678Z,2021-02-02T08:22:26.987Z,238.30900000000003,[],0.0
117,6018f44df8a80c12afba219c,access2,2021-02-02T08:21:21.022Z,2021-02-02T08:23:20.451Z,119.429,[],0.0
118,6018fe8ff8a80c12afba2fa8,create2,2021-02-02T08:20:32.954Z,2021-02-02T08:24:11.693Z,218.739,[],0.0
119,6018f7b8f8a80c12afba2403,access1,2021-02-02T08:20:04.702Z,2021-02-02T08:24:47.824Z,283.122,"[['2021-02-02T08:21:36.347Z', '2021-02-02T08:23:33.632Z']]",117.285
120,6018f44df8a80c12afba219c,calculate1,2021-02-02T08:23:34.518Z,2021-02-02T08:25:33.028Z,118.51,[],0.0
121,6018f5fff8a80c12afba2201,calculate1,2021-02-02T08:23:03.322Z,2021-02-02T08:25:48.058Z,164.73600000000002,[],0.0
122,6018f410f8a80c12afba2194,calculate1,2021-02-02T08:22:39.367Z,2021-02-02T08:26:21.106Z,221.739,[],0.0
123,6018f3a9f8a80c12afba217e,restructure1,2021-02-02T08:08:51.828Z,2021-02-02T08:26:55.51Z,1083.682,"[['2021-02-02T08:13:57.004Z', '2021-02-02T08:14:22.307Z'], ['2021-02-02T08:19:50.859Z', '2021-02-02T08:20:09.963Z'], ['2021-02-02T08:23:18.806Z', '2021-02-02T08:23:50.533Z']]",76.134
124,6018f517f8a80c12afba21c8,access1,2021-02-02T21:18:57.868Z,2021-02-02T21:27:19.11Z,501.242,[],0.0
125,60190373f8a80c12afba3a90,create1,2021-02-02T08:18:37.081Z,2021-02-02T08:27:57.771Z,560.69,[],0.0
126,6018f4bbf8a80c12afba21b3,calculate1,2021-02-02T08:25:57.38Z,2021-02-02T08:28:24.488Z,147.108,[],0.0
127,6018f9d4f8a80c12afba2793,access1,2021-02-02T09:20:42.065Z,2021-02-02T09:29:26.91Z,524.845,"[['2021-02-02T09:24:17.371Z', '2021-02-02T09:24:51.778Z']]",34.407
128,6018f44df8a80c12afba219c,calculate2,2021-02-02T08:25:33.042Z,2021-02-02T08:29:23.704Z,230.662,[],0.0
129,6018f517f8a80c12afba21c8,access2,2021-02-02T21:27:19.155Z,2021-02-02T21:29:57.094Z,157.93900000000002,[],0.0
130,6018f5fff8a80c12afba2201,calculate2,2021-02-02T08:25:48.177Z,2021-02-02T08:29:49.798Z,241.621,[],0.0
131,6018f3a9f8a80c12afba217e,restructure2,2021-02-02T08:26:55.541Z,2021-02-02T08:30:41.544Z,226.00300000000001,"[['2021-02-02T08:29:55.288Z', '2021-02-02T08:29:57.92Z']]",2.632
132,6018f7b8f8a80c12afba2403,access2,2021-02-02T08:24:47.955Z,2021-02-02T08:31:02.995Z,375.04,"[['2021-02-02T08:24:49.069Z', '2021-02-02T08:26:13.758Z']]",84.689
133,60190373f8a80c12afba3a90,create2,2021-02-02T08:27:57.823Z,2021-02-02T08:33:11.668Z,313.845,[],0.0
