,participant,part,enjoyment,effort,motivation,worthwhile,concent,subgoals,hints,subgoalGraphics,thumbnailGraphics,other,timestamp,harderOrEasier,future
52,601927cbf8a80c12afba9277,1,3.0,2.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,,2021-02-02T11:08:57.311Z,,
53,60192582f8a80c12afba892c,1,3.0,3.0,2.0,4.0,3.0,4.0,,4.0,4.0,,2021-02-02T11:10:30.7Z,,
54,6019281bf8a80c12afba93fa,1,4.0,3.0,3.0,3.0,4.0,3.0,3.0,,4.0,,2021-02-02T11:11:19.609Z,,
55,601924e3f8a80c12afba85d6,1,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,,2021-02-02T11:11:34.045Z,,
56,6018fe8ff8a80c12afba2fa8,1,,,,,,,,,,,2021-02-02T11:12:31.96Z,,
57,601927c8f8a80c12afba9261,1,1.0,1.0,,3.0,3.0,3.0,3.0,,,,2021-02-02T11:13:59.503Z,,
58,6018f5fff8a80c12afba2201,2,3.0,3.0,2.0,3.0,4.0,,,5.0,,Add more practice activities.,2021-02-02T11:14:09.31Z,,
59,601925c8f8a80c12afba89d6,1,3.0,5.0,4.0,5.0,4.0,5.0,5.0,,5.0,,2021-02-02T11:18:45.19Z,,
60,6019291bf8a80c12afba99cf,1,2.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,,2021-02-02T11:19:15.004Z,,
61,60192a0cf8a80c12afbaa0b1,1,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,,2021-02-02T11:19:15.897Z,,
62,60192610f8a80c12afba8ad7,1,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,,2021-02-02T11:21:08.199Z,,
63,6018f7b8f8a80c12afba2403,1,2.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,,2021-02-02T11:21:36.322Z,,
64,6019249ff8a80c12afba840b,2,4.0,3.0,3.0,4.0,4.0,,,3.0,,,2021-02-02T11:22:32.085Z,,
65,601927dbf8a80c12afba9299,1,5.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,,2021-02-02T11:28:54.937Z,,
66,601925def8a80c12afba8a6a,1,3.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,5.0,,2021-02-02T11:38:52.634Z,,
67,601926a6f8a80c12afba8dda,1,4.0,3.0,4.0,4.0,4.0,5.0,4.0,,3.0,,2021-02-02T11:46:12.128Z,,
68,60192a78f8a80c12afbaa48e,1,2.0,2.0,3.0,2.0,3.0,2.0,5.0,,5.0,i enjoy this way of learning.,2021-02-02T11:47:12.605Z,,
69,6018f3b6f8a80c12afba2184,2,5.0,4.0,5.0,5.0,5.0,,,,,,2021-02-02T11:47:20.912Z,,
70,601928dff8a80c12afba988d,2,5.0,5.0,4.0,4.0,3.0,,,4.0,,,2021-02-02T11:47:37.416Z,,
71,6018f3bcf8a80c12afba2189,1,4.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,pretty impressive,2021-02-02T11:50:09.378Z,,
