,participant,qid,nr_attempts,nr_subgoals,nr_attempts_per_subgoal
118,604de8b8ba869b0aa719e935,access1,6,3,2.0
119,604de995ba869b0aa719e9b1,access1,25,3,8.333333333333334
120,604de9d9ba869b0aa719e9b7,access1,4,3,1.3333333333333333
121,604df9aeba869b0aa719f15f,access1,122,3,40.666666666666664
122,604e0417ba869b0aa719f964,access1,38,3,12.666666666666666
123,604e2b01ba869b0aa71a1704,access1,38,3,12.666666666666666
124,604e435cba869b0aa71a277f,access1,1,3,0.3333333333333333
125,604eec79ba869b0aa71a5338,access1,1,3,0.3333333333333333
126,604ef140ba869b0aa71a5347,access1,38,3,12.666666666666666
127,604ef27aba869b0aa71a5380,access1,37,3,12.333333333333334
128,604f148cba869b0aa71a67f1,access1,1,3,0.3333333333333333
129,604f1c3aba869b0aa71a7500,access1,38,3,12.666666666666666
130,604f27f0ba869b0aa71a9210,access1,1,3,0.3333333333333333
131,604f4f18ba869b0aa71b0013,access1,47,3,15.666666666666666
132,604f797fba869b0aa71b3185,access1,3,3,1.0
133,604f7d21ba869b0aa71b32b9,access1,21,3,7.0
134,604f7eb8ba869b0aa71b3404,access1,15,3,5.0
135,605242a8ba869b0aa71b5e1f,access1,8,3,2.6666666666666665
136,60524f0dba869b0aa71b5e6b,access1,12,3,4.0
137,6055eb03ba869b0aa71b7cb7,access1,1,3,0.3333333333333333
138,60562767ba869b0aa71b8b17,access1,1,3,0.3333333333333333
139,60564ecbba869b0aa71b9627,access1,1,3,0.3333333333333333
140,6056cd01ba869b0aa71b9abb,access1,4,3,1.3333333333333333
141,60572242ba869b0aa71bd973,access1,2,3,0.6666666666666666
142,60574d71ba869b0aa71bea44,access1,1,3,0.3333333333333333
143,6057f3e1ba869b0aa71c057c,access1,5,3,1.6666666666666667
144,605a99a9ba869b0aa71c84b3,access1,4,3,1.3333333333333333
145,605b2cdaba869b0aa71c950f,access1,2,3,0.6666666666666666
146,605c4db5ba869b0aa71cde48,access1,25,3,8.333333333333334
147,605ed3a9ba869b0aa71d35cb,access1,3,3,1.0
148,605fe289ba869b0aa71d3e08,access1,3,3,1.0
149,6061e1d4ba869b0aa71d7caa,access1,9,3,3.0
150,6062263dba869b0aa71d7ef9,access1,2,3,0.6666666666666666
151,60631f96ba869b0aa71d8f4b,access1,38,3,12.666666666666666
152,60633ce7ba869b0aa71d92e4,access1,1,3,0.3333333333333333
153,60638ea0ba869b0aa71d9f95,access1,7,3,2.3333333333333335
154,60652e90ba869b0aa71df5e7,access1,1,3,0.3333333333333333
155,606970c9e1dff50acdb86754,access1,6,3,2.0
156,606a7e96e1dff50acdb88999,access1,9,3,3.0
157,606aef3ae1dff50acdb88a99,access1,4,3,1.3333333333333333
158,606b4911e1dff50acdb8983d,access1,6,3,2.0
159,606b7a47e1dff50acdb8ac03,access1,5,3,1.6666666666666667
160,607161e8e1dff50acdb9c3c2,access1,4,3,1.3333333333333333
161,607314dce1dff50acdb9d355,access1,6,3,2.0
162,6074c9b3e1dff50acdb9e161,access1,6,3,2.0
163,6078922ae1dff50acdba00e4,access1,1,3,0.3333333333333333
164,6079aa99e1dff50acdba0324,access1,5,3,1.6666666666666667
165,607c6535e1dff50acdba0b81,access1,15,3,5.0
166,607dbfe1e1dff50acdba14c9,access1,1,3,0.3333333333333333
167,6083ef86e1dff50acdba3e43,access1,1,3,0.3333333333333333
168,6088c26ce1dff50acdba476e,access1,1,3,0.3333333333333333
169,60891dd5e1dff50acdba4788,access1,1,3,0.3333333333333333
170,608c9d49e1dff50acdba4969,access1,1,3,0.3333333333333333
171,608d0830e1dff50acdba4a76,access1,1,3,0.3333333333333333
172,608d41b3e1dff50acdba68b2,access1,2,3,0.6666666666666666
173,6092d3e0e1dff50acdba9d03,access1,1,3,0.3333333333333333
174,6095cc43d35efd0ab8825574,access1,1,3,0.3333333333333333
175,6095cf81d35efd0ab88255cd,access1,7,3,2.3333333333333335
176,609d46f3d35efd0ab8825efd,access1,16,3,5.333333333333333
177,60a123d8d35efd0ab8826169,access1,1,3,0.3333333333333333
178,60b3f5a7d35efd0ab882739e,access1,2,3,0.6666666666666666
179,60106245db5b643e9ca0542f,access2,1,2,0.5
180,60114dc2db5b643e9ca054ed,access2,7,2,3.5
181,6014329e8a8fb97c0541f5d3,access2,1,2,0.5
182,60185e4ef8a80c12afba1014,access2,6,2,3.0
183,6018f3a9f8a80c12afba217e,access2,8,2,4.0
184,6018f3bcf8a80c12afba2189,access2,4,2,2.0
185,6018f410f8a80c12afba2194,access2,3,2,1.5
186,6018f44df8a80c12afba219c,access2,16,2,8.0
187,6018f495f8a80c12afba21aa,access2,9,2,4.5
188,6018f517f8a80c12afba21c8,access2,4,2,2.0
189,6018f5fff8a80c12afba2201,access2,2,2,1.0
190,6018f660f8a80c12afba2217,access2,4,2,2.0
191,6018f697f8a80c12afba2235,access2,13,2,6.5
192,6018f6f3f8a80c12afba2286,access2,64,2,32.0
193,6018f723f8a80c12afba2369,access2,1,2,0.5
194,6018f733f8a80c12afba2374,access2,18,2,9.0
195,6018f7b8f8a80c12afba2403,access2,1,2,0.5
196,6018f8bbf8a80c12afba253f,access2,2,2,1.0
197,6018f9d4f8a80c12afba2793,access2,10,2,5.0
198,6018fb66f8a80c12afba2a0e,access2,10,2,5.0
199,6018fd16f8a80c12afba2cd5,access2,4,2,2.0
200,6018fd31f8a80c12afba2cf5,access2,2,2,1.0
201,6018fe8ff8a80c12afba2fa8,access2,17,2,8.5
202,60190c05f8a80c12afba4a8f,access2,78,2,39.0
203,60191b2af8a80c12afba6602,access2,2,2,1.0
204,6019249ff8a80c12afba840b,access2,2,2,1.0
205,601924e3f8a80c12afba85d6,access2,3,2,1.5
206,601924edf8a80c12afba861d,access2,7,2,3.5
207,601924f2f8a80c12afba8654,access2,3,2,1.5
208,60192506f8a80c12afba8709,access2,14,2,7.0
209,6019252af8a80c12afba8755,access2,3,2,1.5
210,60192582f8a80c12afba892c,access2,12,2,6.0
