,participant,gender,reason,language,english,excel,visual,r,python,timestamp
104,60193331f8a80c12afbaedd5,male,partofcourse,python,5,3,2,1,3,2021-02-02T11:12:27.777Z
105,601933bcf8a80c12afbaf2c7,male,partofcourse,python,3,3,2,0,0,2021-02-02T11:13:59.738Z
106,60193a1cf8a80c12afbb4284,male,partofcourse,python,3,3,2,1,3,2021-02-02T11:44:37.571Z
107,60193afaf8a80c12afbb512d,female,curiosity,python,5,3,2,1,4,2021-02-02T11:45:05.193Z
108,60193eb6f8a80c12afbb727e,male,partofcourse,python,2,3,4,0,0,2021-02-02T12:00:29.688Z
109,60193c10f8a80c12afbb6286,male,project,python,4,4,3,2,4,2021-02-02T12:06:12.278Z
110,60194527f8a80c12afbba1bf,male,partofcourse,python,3,4,2,1,4,2021-02-02T12:29:47.909Z
111,6019525cf8a80c12afbbe535,male,partofcourse,python,2,2,2,0,4,2021-02-02T13:24:34.982Z
112,60190285f8a80c12afba38a3,male,project,python,3,4,2,2,4,2021-02-02T13:33:02.019Z
113,60195993f8a80c12afbc0b90,male,partofcourse,python,0,0,0,0,0,2021-02-02T13:54:53.063Z
114,60195e7df8a80c12afbc1d74,male,partofcourse,python,4,4,3,2,5,2021-02-02T14:19:59.598Z
115,601961ddf8a80c12afbc2b4d,male,curiosity,python,1,4,2,4,2,2021-02-02T14:31:25.33Z
116,601963bff8a80c12afbc316c,male,partofcourse,python,3,3,2,0,3,2021-02-02T14:39:12.117Z
117,60196af9f8a80c12afbc4bac,male,partofcourse,python,0,0,0,0,0,2021-02-02T15:09:09.697Z
118,60197a63f8a80c12afbc88ad,female,jobsearch,python,4,4,2,0,0,2021-02-02T16:16:10.319Z
119,60197c36f8a80c12afbc9093,male,ebook,python,3,3,3,3,3,2021-02-02T16:26:30.426Z
120,60198289f8a80c12afbcab0c,female,partofcourse,python,2,2,2,1,2,2021-02-02T16:50:16.081Z
121,6019a87df8a80c12afbd4ecd,female,curiosity,python,5,3,2,1,4,2021-02-02T19:31:39.092Z
122,601a16cef8a80c12afbd712f,male,partofcourse,python,0,0,0,0,0,2021-02-03T03:22:18.427Z
123,601a28e1f8a80c12afbd8c2d,male,partofcourse,python,2,3,4,1,3,2021-02-03T05:02:11.376Z
124,601a2f32f8a80c12afbd93a0,male,ebook,python,2,4,2,2,3,2021-02-03T05:07:13.817Z
125,601a3a2ef8a80c12afbda079,male,partofcourse,python,4,5,3,2,4,2021-02-03T05:54:01.384Z
126,601a9107f8a80c12afbdcee7,male,project,python,4,4,3,2,4,2021-02-03T12:11:31.996Z
127,601a996df8a80c12afbdd1cf,female,curiosity,python,5,4,3,0,1,2021-02-03T12:42:18.185Z
128,601a9ad7f8a80c12afbdd249,female,jobsearch,python,4,3,2,3,1,2021-02-03T12:47:09.254Z
129,601a9cdbf8a80c12afbdd286,female,jobsearch,python,5,5,0,2,4,2021-02-03T12:54:57.539Z
130,601a9ebcf8a80c12afbdd295,male,jobsearch,python,2,4,2,1,3,2021-02-03T13:03:37.113Z
131,601aab34f8a80c12afbdd684,male,research,python,4,4,2,0,4,2021-02-03T13:56:32.141Z
132,601ab97df8a80c12afbddd65,male,project,python,3,4,2,2,2,2021-02-03T14:57:44.038Z
133,601ad24ff8a80c12afbdde77,male,ebook,python,3,3,1,0,2,2021-02-03T17:00:00.441Z
134,601b75cbf8a80c12afbde5a5,female,partofcourse,python,5,5,2,0,4,2021-02-04T04:20:25.386Z
135,601b76e2f8a80c12afbde5be,male,jobsearch,r,4,4,2,3,4,2021-02-04T04:26:49.611Z
136,601b8f72f8a80c12afbde80a,male,partofcourse,python,3,4,3,0,3,2021-02-04T06:11:04.4Z
137,601b8f72f8a80c12afbde80a,male,partofcourse,python,3,3,2,1,3,2021-02-04T06:13:01.191Z
138,601ba4acf8a80c12afbdee12,male,partofcourse,python,1,4,2,1,3,2021-02-04T07:40:37.811Z
139,601beec0f8a80c12afbe12ac,female,curiosity,python,4,2,2,2,2,2021-02-04T12:56:45.61Z
140,601bfddcf8a80c12afbe1762,male,Other,python,5,5,3,0,5,2021-02-04T14:01:48.188Z
141,601c0016f8a80c12afbe1810,male,partofcourse,python,4,3,3,0,4,2021-02-04T14:10:45.089Z
142,601c0011f8a80c12afbe180d,female,partofcourse,python,4,3,3,1,0,2021-02-04T14:11:00.324Z
143,601c0036f8a80c12afbe1824,female,partofcourse,python,5,4,4,2,1,2021-02-04T14:11:27.394Z
144,601c0028f8a80c12afbe1819,male,partofcourse,python,5,4,2,0,2,2021-02-04T14:11:42.656Z
145,601c0052f8a80c12afbe1858,female,project,python,0,0,2,4,4,2021-02-04T14:11:44.353Z
146,601c005ef8a80c12afbe185c,male,partofcourse,python,4,3,2,0,0,2021-02-04T14:12:00.493Z
147,601c0004f8a80c12afbe1803,male,partofcourse,python,5,2,5,1,5,2021-02-04T14:12:08.04Z
148,601c005ff8a80c12afbe185f,female,partofcourse,python,5,2,5,1,1,2021-02-04T14:12:45.169Z
149,601c00c4f8a80c12afbe18aa,female,partofcourse,python,5,2,5,1,1,2021-02-04T14:13:06.248Z
150,601c00e0f8a80c12afbe18d7,male,partofcourse,python,4,2,2,0,3,2021-02-04T14:13:46.402Z
151,601c00b3f8a80c12afbe18a3,female,Other,python,5,4,2,0,0,2021-02-04T14:14:02.69Z
152,601c009bf8a80c12afbe1896,female,partofcourse,r,5,3,3,1,0,2021-02-04T14:14:03.786Z
153,601c0119f8a80c12afbe1910,male,partofcourse,python,5,4,2,0,2,2021-02-04T14:14:31.951Z
154,601c0130f8a80c12afbe193e,male,partofcourse,r,4,2,2,2,1,2021-02-04T14:14:51.064Z
155,601c011ff8a80c12afbe1926,female,partofcourse,python,5,2,5,1,0,2021-02-04T14:14:54.969Z
156,601c0102f8a80c12afbe18ed,female,partofcourse,python,3,2,5,3,1,2021-02-04T14:15:16.776Z
157,601c003af8a80c12afbe1828,female,partofcourse,python,5,3,4,1,1,2021-02-04T14:15:26.516Z
158,601c0125f8a80c12afbe192d,male,partofcourse,python,5,4,2,0,0,2021-02-04T14:15:36.058Z
159,601c0063f8a80c12afbe1862,female,partofcourse,python,5,3,0,0,0,2021-02-04T14:15:39.527Z
160,601c014ef8a80c12afbe1964,female,partofcourse,python,5,3,4,2,3,2021-02-04T14:15:40.201Z
161,601c0143f8a80c12afbe1959,female,partofcourse,python,5,3,4,0,2,2021-02-04T14:15:43.353Z
162,601c0175f8a80c12afbe19d7,male,project,python,0,0,0,0,0,2021-02-04T14:15:56.825Z
163,601c0122f8a80c12afbe192a,female,partofcourse,python,4,1,5,1,1,2021-02-04T14:16:11.348Z
164,601c0172f8a80c12afbe19d1,female,Other,python,2,3,4,2,1,2021-02-04T14:16:14.283Z
165,601c0153f8a80c12afbe196c,male,partofcourse,python,5,2,3,1,0,2021-02-04T14:16:14.594Z
166,601c019bf8a80c12afbe1a15,male,curiosity,python,5,3,0,1,3,2021-02-04T14:16:55.06Z
167,601c018ef8a80c12afbe19fe,female,partofcourse,python,4,5,0,4,3,2021-02-04T14:16:55.091Z
168,601c019af8a80c12afbe1a13,male,partofcourse,python,4,2,3,1,0,2021-02-04T14:17:01.095Z
169,601c014cf8a80c12afbe1961,female,partofcourse,python,5,2,5,2,0,2021-02-04T14:17:06.171Z
170,601c018df8a80c12afbe19f8,male,partofcourse,python,5,3,5,0,0,2021-02-04T14:17:17.844Z
171,601c01a9f8a80c12afbe1a26,female,partofcourse,python,5,2,5,1,1,2021-02-04T14:17:29.771Z
